6.00877e-03	6.24385e-03	6.47921e-03	6.71287e-03	6.94261e-03	7.16599e-03	7.38034e-03	7.58285e-03	7.77061e-03	7.94072e-03	8.09035e-03	8.21686e-03	8.31792e-03	8.39158e-03	8.43638e-03	8.45142e-03	8.43638e-03	8.39158e-03	8.31792e-03	8.21686e-03	8.09035e-03	7.94072e-03	7.77061e-03	7.58285e-03	7.38034e-03	7.16599e-03	6.94261e-03	6.71287e-03	6.47921e-03	6.24385e-03	6.00877e-03
6.07988e-03	6.32045e-03	6.56150e-03	6.80100e-03	7.03668e-03	7.26601e-03	7.48624e-03	7.69445e-03	7.88762e-03	8.06274e-03	8.21686e-03	8.34724e-03	8.45142e-03	8.52738e-03	8.57359e-03	8.58910e-03	8.57359e-03	8.52738e-03	8.45142e-03	8.34724e-03	8.21686e-03	8.06274e-03	7.88762e-03	7.69445e-03	7.48624e-03	7.26601e-03	7.03668e-03	6.80100e-03	6.56150e-03	6.32045e-03	6.07988e-03
6.13632e-03	6.38129e-03	6.62690e-03	6.87110e-03	7.11156e-03	7.34568e-03	7.57064e-03	7.78345e-03	7.98100e-03	8.16017e-03	8.31792e-03	8.45142e-03	8.55813e-03	8.63595e-03	8.68330e-03	8.69920e-03	8.68330e-03	8.63595e-03	8.55813e-03	8.45142e-03	8.31792e-03	8.16017e-03	7.98100e-03	7.78345e-03	7.57064e-03	7.34568e-03	7.11156e-03	6.87110e-03	6.62690e-03	6.38129e-03	6.13632e-03
6.17725e-03	6.42544e-03	6.67440e-03	6.92204e-03	7.16599e-03	7.40363e-03	7.63206e-03	7.84825e-03	8.04901e-03	8.23116e-03	8.39158e-03	8.52738e-03	8.63595e-03	8.71515e-03	8.76334e-03	8.77952e-03	8.76334e-03	8.71515e-03	8.63595e-03	8.52738e-03	8.39158e-03	8.23116e-03	8.04901e-03	7.84825e-03	7.63206e-03	7.40363e-03	7.16599e-03	6.92204e-03	6.67440e-03	6.42544e-03	6.17725e-03
6.20207e-03	6.45222e-03	6.70321e-03	6.95295e-03	7.19904e-03	7.43882e-03	7.66938e-03	7.88762e-03	8.09035e-03	8.27432e-03	8.43638e-03	8.57359e-03	8.68330e-03	8.76334e-03	8.81204e-03	8.82839e-03	8.81204e-03	8.76334e-03	8.68330e-03	8.57359e-03	8.43638e-03	8.27432e-03	8.09035e-03	7.88762e-03	7.66938e-03	7.43882e-03	7.19904e-03	6.95295e-03	6.70321e-03	6.45222e-03	6.20207e-03
6.21038e-03	6.46119e-03	6.71287e-03	6.96331e-03	7.21012e-03	7.45062e-03	7.68189e-03	7.90083e-03	8.10422e-03	8.28881e-03	8.45142e-03	8.58910e-03	8.69920e-03	8.77952e-03	8.82839e-03	8.84480e-03	8.82839e-03	8.77952e-03	8.69920e-03	8.58910e-03	8.45142e-03	8.28881e-03	8.10422e-03	7.90083e-03	7.68189e-03	7.45062e-03	7.21012e-03	6.96331e-03	6.71287e-03	6.46119e-03	6.21038e-03
6.20207e-03	6.45222e-03	6.70321e-03	6.95295e-03	7.19904e-03	7.43882e-03	7.66938e-03	7.88762e-03	8.09035e-03	8.27432e-03	8.43638e-03	8.57359e-03	8.68330e-03	8.76334e-03	8.81204e-03	8.82839e-03	8.81204e-03	8.76334e-03	8.68330e-03	8.57359e-03	8.43638e-03	8.27432e-03	8.09035e-03	7.88762e-03	7.66938e-03	7.43882e-03	7.19904e-03	6.95295e-03	6.70321e-03	6.45222e-03	6.20207e-03
6.17725e-03	6.42544e-03	6.67440e-03	6.92204e-03	7.16599e-03	7.40363e-03	7.63206e-03	7.84825e-03	8.04901e-03	8.23116e-03	8.39158e-03	8.52738e-03	8.63595e-03	8.71515e-03	8.76334e-03	8.77952e-03	8.76334e-03	8.71515e-03	8.63595e-03	8.52738e-03	8.39158e-03	8.23116e-03	8.04901e-03	7.84825e-03	7.63206e-03	7.40363e-03	7.16599e-03	6.92204e-03	6.67440e-03	6.42544e-03	6.17725e-03
6.13632e-03	6.38129e-03	6.62690e-03	6.87110e-03	7.11156e-03	7.34568e-03	7.57064e-03	7.78345e-03	7.98100e-03	8.16017e-03	8.31792e-03	8.45142e-03	8.55813e-03	8.63595e-03	8.68330e-03	8.69920e-03	8.68330e-03	8.63595e-03	8.55813e-03	8.45142e-03	8.31792e-03	8.16017e-03	7.98100e-03	7.78345e-03	7.57064e-03	7.34568e-03	7.11156e-03	6.87110e-03	6.62690e-03	6.38129e-03	6.13632e-03
6.07988e-03	6.32045e-03	6.56150e-03	6.80100e-03	7.03668e-03	7.26601e-03	7.48624e-03	7.69445e-03	7.88762e-03	8.06274e-03	8.21686e-03	8.34724e-03	8.45142e-03	8.52738e-03	8.57359e-03	8.58910e-03	8.57359e-03	8.52738e-03	8.45142e-03	8.34724e-03	8.21686e-03	8.06274e-03	7.88762e-03	7.69445e-03	7.48624e-03	7.26601e-03	7.03668e-03	6.80100e-03	6.56150e-03	6.32045e-03	6.07988e-03
6.00877e-03	6.24385e-03	6.47921e-03	6.71287e-03	6.94261e-03	7.16599e-03	7.38034e-03	7.58285e-03	7.77061e-03	7.94072e-03	8.09035e-03	8.21686e-03	8.31792e-03	8.39158e-03	8.43638e-03	8.45142e-03	8.43638e-03	8.39158e-03	8.31792e-03	8.21686e-03	8.09035e-03	7.94072e-03	7.77061e-03	7.58285e-03	7.38034e-03	7.16599e-03	6.94261e-03	6.71287e-03	6.47921e-03	6.24385e-03	6.00877e-03
5.92400e-03	6.15263e-03	6.38129e-03	6.60809e-03	6.83088e-03	7.04729e-03	7.25477e-03	7.45062e-03	7.63206e-03	7.79633e-03	7.94072e-03	8.06274e-03	8.16017e-03	8.23116e-03	8.27432e-03	8.28881e-03	8.27432e-03	8.23116e-03	8.16017e-03	8.06274e-03	7.94072e-03	7.79633e-03	7.63206e-03	7.45062e-03	7.25477e-03	7.04729e-03	6.83088e-03	6.60809e-03	6.38129e-03	6.15263e-03	5.92400e-03
5.82675e-03	6.04807e-03	6.26919e-03	6.48825e-03	6.70321e-03	6.91179e-03	7.11156e-03	7.29995e-03	7.47433e-03	7.63206e-03	7.77061e-03	7.88762e-03	7.98100e-03	8.04901e-03	8.09035e-03	8.10422e-03	8.09035e-03	8.04901e-03	7.98100e-03	7.88762e-03	7.77061e-03	7.63206e-03	7.47433e-03	7.29995e-03	7.11156e-03	6.91179e-03	6.70321e-03	6.48825e-03	6.26919e-03	6.04807e-03	5.82675e-03
5.71829e-03	5.93161e-03	6.14446e-03	6.35508e-03	6.56150e-03	6.76156e-03	6.95295e-03	7.13324e-03	7.29995e-03	7.45062e-03	7.58285e-03	7.69445e-03	7.78345e-03	7.84825e-03	7.88762e-03	7.90083e-03	7.88762e-03	7.84825e-03	7.78345e-03	7.69445e-03	7.58285e-03	7.45062e-03	7.29995e-03	7.13324e-03	6.95295e-03	6.76156e-03	6.56150e-03	6.35508e-03	6.14446e-03	5.93161e-03	5.71829e-03
5.59999e-03	5.80474e-03	6.00877e-03	6.21038e-03	6.40771e-03	6.59872e-03	6.78122e-03	6.95295e-03	7.11156e-03	7.25477e-03	7.38034e-03	7.48624e-03	7.57064e-03	7.63206e-03	7.66938e-03	7.68189e-03	7.66938e-03	7.63206e-03	7.57064e-03	7.48624e-03	7.38034e-03	7.25477e-03	7.11156e-03	6.95295e-03	6.78122e-03	6.59872e-03	6.40771e-03	6.21038e-03	6.00877e-03	5.80474e-03	5.59999e-03
5.47324e-03	5.66900e-03	5.86379e-03	6.05599e-03	6.24385e-03	6.42544e-03	6.59872e-03	6.76156e-03	6.91179e-03	7.04729e-03	7.16599e-03	7.26601e-03	7.34568e-03	7.40363e-03	7.43882e-03	7.45062e-03	7.43882e-03	7.40363e-03	7.34568e-03	7.26601e-03	7.16599e-03	7.04729e-03	6.91179e-03	6.76156e-03	6.59872e-03	6.42544e-03	6.24385e-03	6.05599e-03	5.86379e-03	5.66900e-03	5.47324e-03
5.33943e-03	5.52593e-03	5.71120e-03	5.89375e-03	6.07190e-03	6.24385e-03	6.40771e-03	6.56150e-03	6.70321e-03	6.83088e-03	6.94261e-03	7.03668e-03	7.11156e-03	7.16599e-03	7.19904e-03	7.21012e-03	7.19904e-03	7.16599e-03	7.11156e-03	7.03668e-03	6.94261e-03	6.83088e-03	6.70321e-03	6.56150e-03	6.40771e-03	6.24385e-03	6.07190e-03	5.89375e-03	5.71120e-03	5.52593e-03	5.33943e-03
5.19995e-03	5.37701e-03	5.55264e-03	5.72540e-03	5.89375e-03	6.05599e-03	6.21038e-03	6.35508e-03	6.48825e-03	6.60809e-03	6.71287e-03	6.80100e-03	6.87110e-03	6.92204e-03	6.95295e-03	6.96331e-03	6.95295e-03	6.92204e-03	6.87110e-03	6.80100e-03	6.71287e-03	6.60809e-03	6.48825e-03	6.35508e-03	6.21038e-03	6.05599e-03	5.89375e-03	5.72540e-03	5.55264e-03	5.37701e-03	5.19995e-03
5.05610e-03	5.22370e-03	5.38966e-03	5.55264e-03	5.71120e-03	5.86379e-03	6.00877e-03	6.14446e-03	6.26919e-03	6.38129e-03	6.47921e-03	6.56150e-03	6.62690e-03	6.67440e-03	6.70321e-03	6.71287e-03	6.70321e-03	6.67440e-03	6.62690e-03	6.56150e-03	6.47921e-03	6.38129e-03	6.26919e-03	6.14446e-03	6.00877e-03	5.86379e-03	5.71120e-03	5.55264e-03	5.38966e-03	5.22370e-03	5.05610e-03
4.90914e-03	5.06733e-03	5.22370e-03	5.37701e-03	5.52593e-03	5.66900e-03	5.80474e-03	5.93161e-03	6.04807e-03	6.15263e-03	6.24385e-03	6.32045e-03	6.38129e-03	6.42544e-03	6.45222e-03	6.46119e-03	6.45222e-03	6.42544e-03	6.38129e-03	6.32045e-03	6.24385e-03	6.15263e-03	6.04807e-03	5.93161e-03	5.80474e-03	5.66900e-03	5.52593e-03	5.37701e-03	5.22370e-03	5.06733e-03	4.90914e-03
4.76022e-03	4.90914e-03	5.05610e-03	5.19995e-03	5.33943e-03	5.47324e-03	5.59999e-03	5.71829e-03	5.82675e-03	5.92400e-03	6.00877e-03	6.07988e-03	6.13632e-03	6.17725e-03	6.20207e-03	6.21038e-03	6.20207e-03	6.17725e-03	6.13632e-03	6.07988e-03	6.00877e-03	5.92400e-03	5.82675e-03	5.71829e-03	5.59999e-03	5.47324e-03	5.33943e-03	5.19995e-03	5.05610e-03	4.90914e-03	4.76022e-03
